EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,PerformanceRating,DistanceFromHomeKM,OverTime,JoinDate,Attrition,EmployeeCountFlag,RandomSurveyCode
EMP11005,41,Male,Sales,Sales Manager,Bachelor's,5208.92 USD,2,2.0,3,14.6,No,2025-04-28,No,1,893303
EMP10641,41,Female,Finance,Accountant,High School,6716.0,0,2.0,3,6.4,no,2017-12-22,No,1,793859
EMP11094,20,Male,Sales,Sales Manager,High School,3344.46,0,2.0,3,6.2,Yes,2017-12-03,Yes,1,570461
EMP10060,19,Female,Engineering,Software Engineer,Master's,3224.52,4,1.0,4,12.6,No,2022-06-03,No,1,443636
EMP10879,43,Female,HR,HR Manager,Bachelor's,2594.85,6,1.0,2,7.9,No,2015-06-29,No,1,478000
EMP10921,30,Male,Sales,Sales Manager,Master's,8014.77,0,4.0,1,7.4,Yes,2021-11-03,No,1,433526
EMP10907,18,Female,HR,HR Manager,Bachelor's,2049.28,1,,1,18.5,No,2018-10-03,No,1,719965
EMP10141,34,Female,Sales,Sales Manager,Bachelor's,4630.46,3,2.0,3,14.3,No,2023-02-04,No,1,704668
EMP10412,25,Male,Sales,Sales Executive,Bachelor's,9557.06,0,1.0,3,0.5,No,2024-04-28,No,1,295318
EMP11146,39,Female,Sales,Sales Executive,Master's,4671.72,1,3.0,1,1.7,Yes,2015-04-28,No,1,120277
EMP10875,39,Female,Engineering,Senior Engineer,Master's,4231.97,3,4.0,1,17.8,No,2015-10-30,Yes,1,296978
EMP10113,24,Male,Support,Support Executive,Bachelor's,4700.83,4,2.0,3,7.0,No,2019-10-30,No,1,123919
EMP11042,25,Female,HR,HR Executive,Bachelor's,7980.29,1,3.0,4,0.9,No,2020-10-13,No,1,352910
EMP10955,30,Female,Finance,Analyst,Bachelor's,6050.55,1,4.0,2,11.5,Yes,2022-08-26,Yes,1,444117
EMP10878,200,Female,Support,Support Executive,High School,6425.06,0,1.0,3,,No,2022-10-08,No,1,577125
EMP10471,30,Male,Marketing,Marketing Executive,Master's,6098.4,3,4.0,1,6.1,No,2023-06-20,No,1,462555
EMP11174,29,Male,HR,HR Executive,Bachelor's,4344.08,6,3.0,3,20.1,No,2021-04-07,No,1,219664
EMP10351,47,Male,Support,Support Executive,Master's,6022.14,5,3.0,1,11.6,No,2019-08-30,No,1,616172
EMP10009,19,Female,Engineering,QA Engineer,Bachelor's,2316.35,2,2.0,4,8.1,Yes,2017-09-28,No,1,800875
EMP10367,27,Female,Support,Support Lead,Master's,5850.01,2,3.0,1,1.3,No,2016-02-03,No,1,436930
EMP10053,45,Male,Engineering,Software Engineer,Bachelor's,1200.0,0,2.0,1,26.8,No,2023-04-07,No,1,786611
EMP10523,24,Male,Sales,Sales Executive,Bachelor's,5107.63,4,4.0,2,3.6,Yes,2017-09-12,No,1,427461
EMP11122,34,Male,HR,HR Manager,Bachelor's,2597.95,1,3.0,2,8.8,Yes,2017-04-19,No,1,656058
EMP11128,34,FEMALE,Sales ,HR Executive,Bachelor's,2703.48,0,2.0,1,7.7,No,2023-06-11,No,1,797230
EMP10285,18,Female,HR,HR Executive,Master's,3260.14,3,2.0,1,6.3,N,2019-11-18,No,1,810914
EMP10179,41,Male,Marketing,Brand Manager,Bachelor's,6545.28,5,4.0,1,12.4,No,2022-01-08,No,1,498565
EMP10040,32,Male,Engineering,Senior Engineer,Master's,7324.94,3,1.0,4,2.8,Yes,2023-05-04,No,1,971375
EMP10451,36,Male,Sales ,Analyst,Bachelor's,6106.04,1,3.0,2,0.6,No,2020-10-21,No,1,782200
EMP10697,23,Female,Finance,Analyst,High School,3438.27,0,3.0,4,6.2,No,2022-12-16,No,1,435899
EMP10597,21,Female,Marketing,Brand Manager,PhD,5645.14,3,4.0,2,4.1,No,2017-12-15,No,1,765674
EMP10713,28,Female,Marketing,Brand Manager,Master's,2546.82,0,1.0,3,0.6,No,2023-10-24,No,1,123196
EMP10189,32,Female,HR,HR Manager,Bachelor's,4210.69 USD,7,3.0,2,1.0,No,2020-08-22,Yes,1,357934
EMP10083,38,Male,Support,Support Lead,Master's,12493.48,0,2.0,2,5.0,No,2018-07-08,No,1,439485
EMP10569,38,Male,Engineering,QA Engineer,Bachelor's,6499.97,0,4.0,4,2.4,Yes,2019-07-12,No,1,551919
EMP10882,40,Female,Marketing,Brand Manager,Master's,4583.33,4,,3,14.2,Yes,2019-03-30,No,1,834936
EMP10971,38,Male,Support,Support Lead,High School,7015.94,12,3.0,2,14.0,No,2021-04-18,Yes,1,151793
EMP10098,28,Female,Engineering,Senior Engineer,Bachelor's,6894.6,4,2.0,4,6.4,No,2015-12-15,Yes,1,898616
EMP10557,36,Female,Sales,Sales Manager,Master's,5875.38,1,3.0,4,4.5,Yes,2022-04-22,No,1,108401
EMP10773,23,Female,Support,Support Lead,High School,8040.41,1,2.0,4,0.8,No,2021-04-26,No,1,211520
EMP10379,25,Male,Engineering,QA Engineer,Bachelor's,7161.55,0,2.0,4,16.8,No,2019-01-21,No,1,559788
EMP10503,28,Male,Finance,Analyst,High School,3777.99,1,3.0,3,7.3,No,2016-04-29,No,1,699560
EMP11106,23,Female,Finance,Analyst,Master's,,4,2.0,4,0.8,No,2016-03-01,No,1,827956
EMP10418,44,Male,Finance,Accountant,Master's,3619.03,0,2.0,2,12.6,Yes,2018-04-10,No,1,715988
EMP10915,39,Male,Marketing,Brand Manager,High School,3391.55,1,3.0,1,7.5,No,2023-12-11,No,1,674159
EMP10228,57,Male,Engineering,Senior Engineer,High School,7962.67,3,,1,8.6,Yes,2015-09-14,No,1,854062
EMP10231,29,Male,Sales,Sales Executive,Master's,6795.15,12,3.0,3,2.6,No,2015-04-06,No,1,645576
EMP11022,25,Male,Finance,Accountant,Bachelor's,4781.47,4,1.0,1,18.5,No,2019-01-16,No,1,149247
EMP11187,43,Male,HR,HR Executive,Bachelor's,6308.15,0,3.0,4,9.3,No,2024-01-24,No,1,803210
EMP10253,47,Male,Marketing,Brand Manager,Master's,8725.65,2,1.0,2,0.9,No,2017-06-12,No,1,988249
EMP11189,26,Male,HR,HR Manager,Bachelor's,4701.76,1,4.0,4,5.8,No,2016-04-25,No,1,835543
EMP10511,38,Female,Sales,Sales Manager,Bachelor's,3813.94,14,3.0,4,8.9,No,2018-04-19,No,1,484238
EMP10054,25,Female,Marketing,Marketing Executive,Master's,6957.87,3,3.0,2,12.2,No,2020-01-08,No,1,374482
EMP10522,39,Male,Sales,Sales Manager,Bachelor's,8331.77,1,3.0,3,3.4,No,2018-01-07,No,1,974986
EMP10903,20,,Engineering,QA Engineer,Bachelor's,8440.2,2,1.0,2,0.8,No,2023-11-20,Yes,1,776975
EMP10683,26,male,Marketing,Marketing Executive,Bachelor's,8200.39,0,4.0,4,2.4,Yes,2024-03-13,No,1,238340
EMP11115,39,Female,HR,HR Manager,High School,2603.0,0,2.0,4,0.5,Yes,2017-07-26,No,1,179793
EMP10399,37,Male,Finance,Accountant,Master's,5178.55,2,2.0,3,5.5,No,2019-10-19,No,1,557913
EMP10097,48,Male,Marketing,Marketing Executive,Master's,9447.61,5,2.0,2,12.3,No,2018-06-09,No,1,477370
EMP10407,39,Female,HR,HR Manager,High School,12696.26,0,4.0,1,0.9,No,2017-05-25,No,1,928325
EMP10636,37,Male,sales,Support Executive,High School,4076.56,9,2.0,2,6.2,No,2024-12-26,No,1,710098
EMP11069,36,Female,Marketing,Marketing Executive,Bachelor's,7890.73,1,1.0,1,2.1,No,2018-05-24,No,1,236797
EMP11013,32,Female,Marketing,Brand Manager,Bachelor's,10145.36,8,3.0,4,1.7,Yes,2019-06-03,No,1,596251
EMP10857,25,Male,HR,HR Executive,PhD,6585.22,3,1.0,1,10.1,No,2019-01-12,No,1,253436
EMP10306,43,Female,Engineering,Senior Engineer,Bachelor's,7208.98,3,4.0,3,0.5,yes,2020-10-02,No,1,179051
EMP10012,38,Female,Engineering,Software Engineer,Bachelor's,2884.72,3,1.0,2,2.8,No,2024-08-16,Yes,1,236348
EMP11077,33,Female,Support,Support Executive,High School,3486.62,5,1.0,2,1.7,No,2023-09-08,Yes,1,256367
EMP10204,43,Male,Support,Support Executive,Master's,6576.64,2,2.0,1,0.5,yes,2024-02-24,No,1,766351
EMP10369,42,Female,Engineering,Senior Engineer,Bachelor's,,2,2.0,1,4.7,No,2018-04-11,No,1,604051
EMP10637,33,Male,Marketing,Marketing Executive,Bachelor's,8285.05,6,4.0,2,2.7,No,2019-01-29,No,1,148423
EMP10473,35,M,Support,Support Executive,Bachelor's,5556.69,3,2.0,3,7.2,No,2016-02-23,Yes,1,106710
EMP10013,37,Male,Support,Support Executive,Bachelor's,7343.88,3,3.0,2,12.9,No,2024-12-03,No,1,398411
EMP11158,33,Female,Marketing,Marketing Executive,Bachelor's,7342.45,9,3.0,4,5.2,Yes,2016-07-16,No,1,793709
EMP10556,36,Female,Marketing,Marketing Executive,Bachelor's,9134.38,3,4.0,3,1.4,Yes,2021-08-11,No,1,610530
EMP11064,30,Male,Support,Support Lead,Bachelor's,8632.4,3,1.0,1,13.4,Yes,2025-03-29,No,1,540461
EMP10452,29,Male,Marketing,Marketing Executive,Bachelor's,3940.29,5,1.0,4,12.1,No,2022-08-04,No,1,260902
EMP10020,24,Male,Support,Support Lead,High School,4764.93,3,1.0,1,2.9,No,2022-09-09,No,1,975807
EMP10618,44,Male,Support,Support Lead,Bachelor's,3393.74,0,3.0,3,4.8,No,2017-10-14,No,1,645754
EMP99001,26,M,Sales,Sales Manager,Bachelor's,6108.11,0,4.0,4,20.0,N,2022-10-08,No,1,837504
EMP10881,25,Female,Engineering,QA Engineer,Bachelor's,4651.05,3,1.0,3,9.3,No,2018-08-11,No,1,158167
EMP11170,38,Female,Engineering,QA Engineer,Bachelor's,5975.97,9,3.0,4,16.0,No,2024-02-28,No,1,102352
EMP10484,30,Female,Support,Support Executive,Master's,,1,3.0,3,5.6,No,2024-09-01,No,1,625167
EMP10742,24,Male,Engineering,Senior Engineer,Bachelor's,7132.25,0,3.0,2,10.7,No,2015-10-26,No,1,581944
EMP11014,44,Female,Engineering,QA Engineer,Bachelor's,,1,3.0,4,24.9,No,2024-07-11,No,1,840973
EMP10651,33,F,Sales,Sales Manager,Master's,6225.79,2,2.0,3,9.0,No,2021-03-09,No,1,595323
EMP10252,28,Male,HR,HR Executive,Master's,7546.83,4,3.0,3,10.4,No,2022-10-04,Yes,1,177742
EMP10205,35,Male,Marketing,Marketing Executive,Bachelor's,5438.36,1,4.0,2,10.0,No,2021-12-19,No,1,972793
EMP10017,36,Female,Support,Support Executive,Bachelor's,5239.0,4,2.0,2,18.0,No,2022-08-31,Yes,1,772109
EMP10817,24,Male,Marketing,Brand Manager,Bachelor's,6734.27,10,1.0,1,2.1,Yes,2021-12-29,No,1,656348
EMP10509,31,Male,HR,HR Manager,Master's,9845.75,3,1.0,1,1.3,Yes,2022-02-24,No,1,398079
EMP11026,44,Male,Finance,Accountant,Bachelor's,6548.14,4,1.0,3,18.3,Yes,2015-03-27,No,1,317728
EMP10431,28,Male,Support,Support Lead,Master's,9428.37,3,3.0,1,9.8,No,2022-01-07,No,1,704813
EMP10564,40,Male,Finance,Analyst,PhD,7720.05,2,2.0,3,5.1,No,2016-02-16,No,1,182330
EMP10115,42,F,Marketing,Marketing Executive,Master's,,0,2.0,1,4.3,No,2023-09-27,Yes,1,901236
EMP10426,38,Female,Marketing,Marketing Executive,Bachelor's,8043.95,6,4.0,1,24.4,No,2022-07-14,No,1,675632
EMP10735,41,Female,Finance,Analyst,Bachelor's,5135.0,6,1.0,3,0.5,No,2022-04-19,No,1,410581
EMP10969,54,Female,HR,HR Executive,Bachelor's,1908.46,3,3.0,3,2.3,No,2024-12-09,No,1,356619
EMP10325,36,Female,HR,HR Executive,High School,4938.64,21,1.0,3,18.3,Yes,2021-08-07,No,1,804054
EMP11117,57,Male,HR,HR Executive,Bachelor's,5947.9,2,4.0,2,0.5,No,2015-08-10,No,1,269859
EMP10385,32,Female,Marketing,Brand Manager,Master's,3981.27,0,3.0,1,1.5,No,2016-07-29,No,1,297344
EMP10140,38,Female,Support,Support Executive,Bachelor's,8665.15,11,3.0,3,,No,2015-07-13,No,1,745472
EMP10935,44,Female,Marketing,Brand Manager,Master's,10802.74,8,1.0,3,0.6,No,2021-11-30,Yes,1,818783
EMP10869,18,Female,Finance,Analyst,PhD,8920.7,4,2.0,2,11.6,No,2015-07-06,No,1,338548
EMP10790,40,Male,Marketing,Brand Manager,High School,5940.11,1,2.0,2,1.1,No,2022-06-30,No,1,781076
EMP11160,38,Male,Engineering,Senior Engineer,Bachelor's,,2,3.0,2,0.6,No,2021-08-09,No,1,415805
EMP10685,38,Female,Sales,Sales Executive,High School,2575.21,2,3.0,1,2.7,No,2015-11-23,No,1,413309
EMP10467,45,Male,Engineering,Software Engineer,Bachelor's,,1,1.0,2,4.7,Yes,2015-03-17,No,1,386425
EMP10397,28,Male,HR,HR Executive,Bachelor's,3886.13,6,2.0,1,11.0,Yes,2022-10-09,Yes,1,401016
EMP10927,42,Female,HR,HR Executive,Bachelor's,8318.84,1,4.0,4,2.5,No,2016-12-02,No,1,534603
EMP10851,41,Female,Marketing,Marketing Executive,Master's,4890.45,13,4.0,2,2.2,No,2019-10-24,No,1,365343
EMP10525,41,Female,Marketing,Marketing Executive,Master's,5383.49,11,3.0,3,10.6,No,2021-03-09,No,1,391905
EMP10108,27,Female,Finance,Accountant,Master's,7348.48,5,2.0,3,2.8,Yes,2023-05-04,No,1,924157
EMP10876,51,Male,Sales,Sales Manager,Bachelor's,4632.79,4,3.0,1,9.8,Yes,2019-06-24,No,1,112034
EMP11110,39,Female,HR,HR Executive,Bachelor's,5284.83,3,3.0,1,0.5,No,2022-12-20,No,1,140302
EMP11008,27,Female,HR,HR Executive,Bachelor's,7184.63,12,3.0,1,0.7,No,2015-01-25,No,1,787849
EMP10099,30,Male,Engineering,QA Engineer,Bachelor's,1858.79,1,4.0,3,0.5,Yes,2017-12-04,No,1,707262
EMP10220,150,Female,Sales,Sales Manager,Bachelor's,5529.38,3,3.0,2,9.8,No,2016-06-10,No,1,600035
EMP10336,43,Male,Support,Support Executive,,7423.55,0,4.0,3,6.7,Yes,2023-09-17,No,1,900126
EMP11079,27,Male,Marketing,Marketing Executive,Bachelor's,4846.34,11,2.0,4,5.7,No,2017-08-30,No,1,801833
EMP10986,35,Male,Engineering,QA Engineer,Bachelor's,1458.14,8,1.0,1,7.2,No,2024-10-29,No,1,279653
EMP10284,33,Male,Engineering,Software Engineer,High School,9020.1,0,,4,24.9,No,2022-05-17,No,1,458621
EMP10318,38,Male,Support,Support Lead,,4528.96,0,3.0,3,4.7,Yes,2024-07-10,No,1,534344
EMP10489,45,Female,Marketing,Marketing Executive,,4448.04,7,1.0,4,12.9,No,2025-05-01,No,1,331573
EMP10207,28,Female,Sales,Sales Executive,Bachelor's,3972.62,5,1.0,4,1.2,Yes,2018-12-11,No,1,206809
EMP10799,38,Male,Marketing,Brand Manager,Master's,4677.63,7,4.0,4,3.3,Yes,2015-08-30,No,1,907893
EMP10308,24,Male,Support,Support Lead,Master's,7828.82,1,1.0,1,10.6,No,2021-09-04,No,1,474755
EMP10591,42,Female,HR,HR Manager,High School,8329.19,4,3.0,3,5.8,No,2017-10-17,No,1,802321
EMP10858,41,Female,HR,HR Executive,Bachelor's,6783.36,0,3.0,2,22.7,No,2022-09-04,No,1,547899
EMP10620,40,Male,Engineering,Senior Engineer,Bachelor's,1200.0,0,3.0,2,11.5,No,2023-01-10,No,1,414173
EMP10316,24,Male,Marketing,Marketing Executive,Bachelor's,1200.0,0,,3,12.8,No,2020-10-31,No,1,260505
EMP10023,33,Male,Finance,Analyst,Bachelor's,3162.69,3,4.0,3,8.1,No,2025-01-05,No,1,880740
EMP10652,34,Male,HR,HR Executive,Master's,6575.6,1,1.0,4,3.8,No,2022-02-18,No,1,679561
EMP10856,39,Male,HR,HR Manager,Bachelor's,5233.33,0,3.0,2,10.6,No,2015-05-12,No,1,587358
EMP10761,40,Female,Engineering,Software Engineer,High School,4444.7,4,,1,12.7,No,2016-10-19,Yes,1,194677
EMP10374,37,Female,Engineering,Senior Engineer,Bachelor's,6152.04,14,4.0,3,0.6,Yes,2017-01-18,Yes,1,718408
EMP10186,29,Male,Marketing,Marketing Executive,Master's,7405.7,1,3.0,2,4.8,No,2017-04-14,No,1,952172
EMP10548,42,Male,Marketing,Brand Manager,Master's,9669.84,6,1.0,3,28.0,Yes,2022-03-29,No,1,546509
EMP99007,34,Male,Finance,Accountant,Master's,4733.74,0,3.0,4,3.0,No,2021-07-01,No,1,480974
EMP11060,26,Female,Marketing,Marketing Executive,Bachelor's,3296.17,1,4.0,2,3.0,No,2018-06-02,No,1,316080
EMP10123,33,Female,Marketing,Brand Manager,High School,3660.67,6,,3,10.2,No,2016-01-30,No,1,931509
EMP10594,20,Male,Support,Support Executive,Bachelor's,4720.21,7,1.0,4,1.3,No,2018-08-23,No,1,735840
EMP10812,32,Female,Finance,Analyst,Bachelor's,7560.14,1,3.0,2,0.7,No,2023-08-14,No,1,878197
EMP11054,32,Male,Marketing,Marketing Executive,Master's,3330.15,1,3.0,1,3.8,No,2020-11-28,No,1,418290
EMP10771,22,Male,Finance,Analyst,Master's,4387.37,11,,1,21.1,No,2016-03-09,No,1,799323
EMP10703,48,Male,Support,Support Lead,Bachelor's,7812.7,1,1.0,4,4.8,No,2019-10-18,No,1,419854
EMP10920,38,Female,Sales,Sales Executive,Bachelor's,3816.53,5,4.0,2,8.6,Yes,2020-11-19,No,1,769938
EMP10922,36,Male,Marketing,Brand Manager,Master's,5098.81,0,3.0,2,1.4,Yes,2018-01-06,Yes,1,131639
EMP10147,36,Male,HR,HR Manager,PhD,3927.27,3,3.0,3,10.9,No,2023-08-30,No,1,917746
EMP10941,23,Female,Support,Support Lead,Bachelor's,3733.26,1,4.0,3,7.2,No,2018-06-26,Yes,1,447930
